0	0	7	0	0	0	0	0	4	3	0	1	0	1	1	2	0	3	5	1049	0	0	0	0	9	1	2	0	0	0	0	0	0	6	1	2	1	1	1	0	4	1	0	1	14	0	0
1	0	21	0	3	0	0	0	3	17	0	6	0	0	0	1	2	0	4	879	1	0	0	0	13	3	1	0	2	0	0	0	0	5	1	5	0	2	0	0	5	0	1	1	16	2	0
1	0	2	0	2	1	0	6	3	3	0	19	0	0	1	3	0	4	4	1006	0	1	0	1	6	6	2	4	1	0	0	0	2	0	2	9	3	4	0	0	9	1	0	7	42	0	0
0	0	4	0	0	0	1	0	5	5	3	4	0	3	1	1	0	0	11	936	1	1	0	0	7	1	0	1	1	0	0	7	1	2	0	2	0	6	3	1	3	2	0	2	75	0	0
0	0	13	0	6	0	0	0	13	2	0	15	1	2	0	4	0	0	9	1001	0	2	1	1	8	1	0	2	1	21	0	0	1	0	0	5	1	1	1	0	4	0	1	6	100	0	2
0	0	15	0	7	0	0	1	5	3	1	10	3	0	0	4	4	0	43	689	0	3	0	0	10	2	0	6	0	9	1	1	0	1	0	1	0	5	1	0	5	0	6	13	130	0	0
0	0	25	0	3	0	1	1	2	2	2	29	1	2	0	7	14	0	43	719	0	0	0	0	15	24	0	10	0	1	0	3	1	0	0	3	0	0	0	0	6	3	1	9	196	0	0
1	2	12	0	4	0	0	0	4	2	0	9	2	1	0	2	5	1	27	588	0	0	0	0	11	13	0	5	2	1	0	1	0	0	0	13	0	4	0	0	2	2	0	13	166	0	0
1	2	23	0	8	1	5	1	5	3	0	9	5	1	0	3	15	4	15	429	0	0	0	0	3	1	0	7	6	2	5	1	0	1	1	5	0	6	0	0	4	1	3	10	106	0	0
1	1	13	1	3	0	0	1	21	0	0	6	1	4	0	3	5	0	11	256	0	0	0	1	9	1	0	6	2	5	4	0	0	0	0	4	2	10	6	0	5	0	12	11	41	0	0
0	0	11	0	4	0	0	0	7	3	3	0	0	6	0	3	0	2	17	159	0	0	0	2	8	0	0	8	3	0	2	0	0	0	0	9	2	7	14	0	9	0	3	0	10	0	0
